latitude,longitude,depth,distance,gravity,force,magnitude,year,month,day,hour,minutes,Md,Mi,Ml,m,mb,ml,ml(texnet),ms,ms_20,mw,mwb,mwc,mwp,mwr,mww
0.4713738548548304,0.8624771153018194,0.8257419313767168,0.04486303682823234,0.1709783507872089,0.9551369631717535,5.2,2023,8,29,10,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.16090986499289495,0.8540397991703828,0.5226572535956959,0.15738006539095295,0.7557340310773952,0.842619934609047,5.2,2018,2,27,7,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9544619755945598,0.7452182049027953,0.6738722437480439,0.7964200453665882,0.7173187894774173,0.20357995463342604,5.3,2011,12,11,1,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.10691605732907628,0.7249989705793629,0.6680350222054199,0.8784199080328818,0.0415037835097678,0.12158009196710395,5.9,2022,4,5,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.41457218113869243,-0.9166614507622886,0.7202686083451487,0.7288483451965106,0.6330560908215261,0.27115165480347514,5.9,2014,2,18,23,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.229568891898703,0.27158444493447303,0.8828720842315089,0.3109338609159096,0.15356753659710876,0.6890661390841046,5.7,2016,1,12,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.22365661606790369,0.9876803677588694,0.7250988513737128,0.3944636079487367,0.0836540291418828,0.6055363920512491,5.1,2020,12,7,22,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.21524351494817207,-0.9746507693977251,0.5226572535956959,0.9069017870335756,0.030537507387066398,0.0930982129664244,5.1,2019,4,26,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9263485290797673,0.7357722378711559,0.7331576867427188,0.9417989742914443,0.42081653831183985,0.05820102570851304,5.3,2011,7,20,19,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.4634675846996545,-1.3459615982537037,0.5226572535956959,0.42207054377995235,0.8396646521848652,0.5779294562200619,5.2,2014,11,23,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3838043556128435,0.7251262681608193,0.6648378085103441,0.5878506649448667,0.08174581532563252,0.4121493350551191,5.4,2012,8,31,13,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.5542940669914155,-1.700326443336183,0.5226572535956959,0.5541419797541636,0.11212952283119648,0.4458580202458222,5.1,2019,10,19,16,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.8598315529186369,-1.5186525242823454,0.4501735574511516,0.9382372877963263,0.06513700033428904,0.061762712203659476,5.2,2018,4,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.09330953788107588,0.720691123125363,0.6362225485359988,0.8905500750048247,0.07924840236131558,0.10944992499517525,5.3,2012,2,24,19,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.15212603239518555,0.888393119098582,0.7222215312119713,0.4656009490108204,0.7115906951118518,0.5343990509891796,5.2,2020,9,13,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.09829740742402295,0.7221124776495228,0.43648305519866093,0.6161028384074001,0.40928945447444676,0.3838971615925857,5.1,2019,11,14,17,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.34368746038974,0.8481111372875204,0.6908098579512312,0.11586676501839577,0.05865189744667987,0.88413323498159,5.5,2020,12,12,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.34200341774188586,0.1678896188678344,0.5226572535956959,0.9743796349381313,0.2826715051367046,0.025620365061826078,5.2,2014,2,13,18,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.017382299456429873,0.8358086773930087,0.5519965580070936,0.013997603090331268,0.2729466710874249,0.9860023969096403,5.3,2021,12,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.11652106493699266,0.2518833198756945,0.5226572535956959,0.6123262021340992,0.05360353048433808,0.3876737978658866,5.2,2014,5,12,3,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.8305458062155912,0.6892429448172805,0.7187664213142609,0.26090359199082513,0.32761784992652565,0.7390964080091464,5.2,2020,7,26,12,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.9970290275781726,-1.7479916848717174,0.5226572535956959,0.8966931960966633,0.7430247907955163,0.10330680390330826,5.2,2019,3,8,11,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.5828609561919306,-1.7122980916814323,0.507372516602671,0.9604282168539697,0.3897203644488627,0.03957178314601606,5.7,2013,10,25,17,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.11501174856880217,0.2519100766921789,0.5226572535956959,0.8207512050545915,0.036108233587867744,0.17924879494538004,5.1,2021,6,13,9,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.41320687490561847,-1.008610034392244,0.6640242309720544,0.10548447357390955,0.35469969693036774,0.8945155264260904,5.1,2021,5,23,22,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.1043668886180786,0.8513746580860053,0.5226572535956959,0.5523375988148302,0.3000683763138454,0.44766240118514133,5.3,2022,8,4,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.19620863877680847,0.7314506066026034,0.7658077552144238,0.9479384941583078,0.4344385549245544,0.0520615058416638,5.4,2011,5,28,20,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
