time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-31T15:28:29.444Z,52.2618,-174.2284,156.75,2.5,ml,11,112,0.062,0.59,us,us7000hdvs,2022-08-06T22:13:10.040Z,"7 km NNW of Atka, Alaska",earthquake,20.1,3.7,0.148,6,reviewed,us,us
2022-05-31T15:15:03.786Z,-4.9997,130.9599,38.83,4.3,mb,19,95,2.434,0.68,us,us7000henk,2022-08-06T22:13:25.040Z,"210 km WNW of Tual, Indonesia",earthquake,9.1,9.5,0.201,10,reviewed,us,us
2022-05-31T14:41:40.562Z,51.3845,-178.3262,47.83,5,mww,128,81,0.348,0.88,us,us7000hdtn,2022-08-06T22:13:10.040Z,"129 km WSW of Adak, Alaska",earthquake,4.3,3.8,0.052,35,reviewed,us,us
2022-05-31T13:51:42.318Z,-4.5591,149.6874,565.37,4.2,mb,56,59,2.496,0.77,us,us7000hdta,2022-08-06T22:13:10.040Z,"120 km NNW of Kimbe, Papua New Guinea",earthquake,9.5,6,0.078,49,reviewed,us,us
2022-05-31T13:39:35.513Z,-8.666,123.0604,150.17,4.9,mb,80,66,0.814,0.68,us,us7000hdt7,2022-08-06T22:13:10.040Z,"93 km E of Maumere, Indonesia",earthquake,7.1,6,0.074,60,reviewed,us,us
2022-05-31T13:28:24.228Z,-15.3104,-179.2894,553.54,4.4,mb,17,139,1.506,0.54,us,us7000henh,2022-08-06T22:13:24.040Z,"Fiji region",earthquake,18.8,12.2,0.189,11,reviewed,us,us
2022-05-31T11:44:09.070Z,18.026,-66.739,10,3.28,md,23,121,0.1338,0.23,pr,pr2022151004,2022-08-06T22:13:09.040Z,"3 km ENE of Magas Arriba, Puerto Rico",earthquake,0.34,0.59,0.11,9,reviewed,pr,pr
2022-05-31T11:23:20.779Z,-15.273,-174.7077,253.66,4.2,mb,38,68,3.139,0.41,us,us7000hdsv,2022-08-06T22:13:09.040Z,"123 km NW of Hihifo, Tonga",earthquake,10.4,7,0.113,22,reviewed,us,us
2022-05-31T10:46:04.980Z,19.5295,-155.967666666667,5.98,2.53,ml,43,180,,0.23,hv,hv73029122,2022-08-06T22:13:09.040Z,"4 km WSW of Honalo, Hawaii",earthquake,0.57,0.53,0.155812020745494,13,reviewed,hv,hv
2022-05-31T09:58:56.578Z,-25.0055,-175.4023,10,4.2,mb,24,116,4.796,0.31,us,us7000heni,2022-08-06T22:13:24.040Z,"south of Tonga",earthquake,10,1.9,0.146,13,reviewed,us,us
2022-05-31T09:41:40.530Z,18.8221666666667,-155.186,6.94,2.55,md,49,268,,0.16,hv,hv73029062,2022-08-06T22:13:09.040Z,"49 km ESE of Naalehu, Hawaii",earthquake,0.49,0.37,0.111073581614431,17,reviewed,hv,hv
2022-05-31T09:02:55.860Z,35.889,-117.6878333,6.08,2.82,ml,48,22,0.06617,0.13,ci,ci40030831,2022-08-06T22:13:09.040Z,"20km ESE of Little Lake, CA",earthquake,0.11,0.33,0.214,21,reviewed,ci,ci
2022-05-31T08:40:31.990Z,36.1851667,-89.3806667,11.19,3.21,md,80,48,0.04494,0.14,nm,nm60397126,2023-11-07T17:14:57.368Z,"12 km SE of Ridgely, Tennessee",earthquake,0.17,0.26,0.13,73,reviewed,nm,nm
2022-05-31T08:25:48.108Z,32.33,-103.3832,6.08,2.7,mb_lg,39,36,0.158,0.94,us,us7000hds0,2022-08-06T22:13:09.040Z,"24 km WSW of Eunice, New Mexico",earthquake,2.9,8,0.064,64,reviewed,us,us
2022-05-31T08:00:15.220Z,36.1853333,-89.38,10.52,2.61,md,63,48,0.04454,0.14,nm,nm60397111,2022-08-06T22:13:09.040Z,"13 km SE of Ridgely, Tennessee",earthquake,0.18,0.28,0.082,38,reviewed,nm,nm
2022-05-31T07:55:46.440Z,19.7346,-68.7525,51,3.84,md,18,298,0.6226,0.38,pr,pr2022151003,2022-08-06T22:13:09.040Z,"84 km NE of Samaná, Dominican Republic",earthquake,4.26,20.61,0.06,4,reviewed,pr,pr
2022-05-31T07:10:09.517Z,-5.84,104.3485,61.05,5.2,mww,122,42,2.021,1.09,us,us7000hdqr,2024-01-18T16:36:51.700Z,"110 km WSW of Bandar Lampung, Indonesia",earthquake,7.7,4.6,0.093,11,reviewed,us,us
2022-05-31T06:53:43.354Z,38.1232,-118.0979,10.7,2.8,ml,28,50.47,0.11,0.1191,nn,nn00839963,2022-08-06T22:13:09.040Z,"29 km S of Mina, Nevada",earthquake,,1.1,0.25,13,reviewed,nn,nn
