latitude,longitude,depth,magnitude,distance,gravity,force,year,month,day,hour,minutes,mb,mwb,mwc,mwr,mww,rare_mt
-57.9175,-23.9053,3.3870984572826535,5.1,12.828107746381113,2.284263107846078,46.797709698690014,2021,8,13,20,12,1,0,0,0,0,0
-2.8938,101.0849,3.696351468952637,5.1,12.832069898196044,2.280582379903012,46.78978539506015,2021,6,27,15,56,1,0,0,0,0,0
11.3629,140.9017,2.302585092994046,5.4,12.83671656573683,2.280551201919214,46.78049205997858,2016,4,12,14,51,1,0,0,0,0,0
-11.976,121.632,2.7212954278522306,5.8,12.889300794747117,2.28200852192063,46.675323601958006,2013,4,19,17,51,0,0,0,0,1,0
36.8392,66.6469,2.302585092994046,5.1,12.825293375921824,2.2832290547021503,46.80333843960859,2021,10,5,7,59,0,0,0,0,1,0
28.239,99.3276,2.302585092994046,5.2,12.896558788668472,2.2803679202477305,46.66080761411529,2013,8,27,20,44,0,0,0,1,0,0
39.9543,77.8492,2.302585092994046,5.2,12.820909575179687,2.2803105695182757,46.81210604109286,2023,12,19,1,46,0,0,0,0,1,0
55.777,161.234,4.45318382899021,5.5,12.903530521677203,2.281068237868546,46.64686414809783,2012,7,16,3,8,0,1,0,0,0,0
-6.0125,151.5015,3.8507856959569566,5.1,12.892575300038118,2.281595501674703,46.66877459137601,2015,9,19,5,36,1,0,0,0,0,0
-18.9285,169.0547,5.117993812416755,6.1,12.853835355955516,2.283226503798355,46.74625447954121,2016,7,20,15,13,0,0,0,0,1,0
36.203,141.772,3.258096538021482,5.1,12.795197303808692,2.282305521498061,46.86353058383485,2011,3,17,19,5,1,0,0,0,0,0
-21.4749,168.9087,2.302585092994046,5.1,12.842128174727389,2.2803577251891487,46.76966884199746,2021,11,1,0,0,1,0,0,0,0,0
-27.2597,-176.0063,2.302585092994046,5.1,12.850544155366062,2.280241960886589,46.75283688072011,2022,3,4,2,58,1,0,0,0,0,0
4.0301,126.6816,3.295836866004329,5.6,12.909185008318154,2.281315450376899,46.635555174815934,2019,9,10,23,32,0,0,0,0,1,0
-17.9958,-178.4195,6.322619098440981,5.1,12.912089159832794,2.281171971788457,46.62974687178665,2016,2,27,18,20,1,0,0,0,0,0
-4.7623,100.7623,2.302585092994046,5.5,12.905380808203592,2.284583191717153,46.64316357504505,2022,11,16,6,1,0,0,0,0,1,0
36.4738,70.7455,5.313205979041787,6.0,12.909135502877495,2.284135415568294,46.63565418569725,2023,1,5,14,25,0,0,0,0,1,0
35.7086,28.4965,3.3874364664121184,5.9,12.817250263222869,2.2820815220542583,46.8194246650065,2023,1,25,12,37,0,0,0,0,1,0
19.061,121.194,3.6609942506244004,5.1,12.903401072483343,2.2802660058871496,46.647123046485554,2012,12,22,18,7,1,0,0,0,0,0
35.6865,140.8749,3.7476199491365363,5.6,12.798606358682203,2.2802215394637253,46.85671247408783,2020,5,4,13,7,0,0,0,0,1,0
-16.589,-173.5438,2.9922261342247034,5.3,12.883433373158242,2.280347188516024,46.687058445135754,2018,12,7,4,37,1,0,0,0,0,0
0.002,-17.057,2.302585092994046,5.1,12.808482425177793,2.282006938674508,46.83696034109665,2013,1,12,21,50,0,1,0,0,0,0
-10.1728,161.2187,4.585253152147732,5.6,12.903654976255178,2.2822975351380457,46.646615238941884,2023,5,28,3,29,0,0,0,0,1,0
-5.6899,153.7171,4.237723145067448,5.1,12.867244005210969,2.282388066272637,46.7194371810303,2016,12,19,11,5,1,0,0,0,0,0
-24.3507,-70.041,4.11414718951828,5.3,12.899567265725977,2.2808431475755016,46.65479066000028,2018,9,23,5,32,0,0,0,0,1,0
-7.5482,127.5773,5.108910770030852,7.3,12.81192840989317,2.2841102104944992,46.830068371665895,2021,12,29,18,25,0,0,0,0,1,0
-33.646,-72.079,3.075928815548268,5.4,12.910624544353555,2.281609998686969,46.63267610274513,2022,12,10,7,25,0,0,0,0,1,0
-23.8502,-175.8718,2.6390573296152584,5.5,12.85618444633903,2.281731750590028,46.74155629877418,2017,10,16,18,9,0,0,0,0,1,0
-20.3113,-70.5756,3.1809662517949806,6.5,12.86614121157082,2.2809706263478082,46.721642768310595,2014,4,3,1,58,0,0,0,0,1,0
38.361,142.91,3.1441522786722644,5.7,12.907961506026874,2.284110633232748,46.63800217939849,2011,3,9,2,57,1,0,0,0,0,0
0.998,98.7382,4.201253877869777,5.3,12.80918023231307,2.280506093888417,46.8355647268261,2018,3,1,3,17,0,0,0,0,1,0
-7.0269,128.3791,2.28949985344539,6.4,12.819767985486916,2.280369584820687,46.814389220478404,2013,12,1,1,24,0,0,0,0,1,0
5.017,93.3168,2.702702594775615,5.1,12.850155624375828,2.2841155858781543,46.75361394270058,2015,8,25,3,29,1,0,0,0,0,0
-12.3585,166.2766,2.302585092994046,5.2,12.898452031411207,2.2802273376767572,46.65702112862982,2019,7,17,4,35,1,0,0,0,0,0
37.4872,137.2752,2.302585092994046,5.6,12.85047591085119,2.28372933833245,46.75297336974986,2023,5,5,12,58,0,1,0,0,0,0
70.94,-7.936,2.302585092994046,5.2,12.852007666216752,2.2803930368049805,46.749909859018736,2012,8,30,13,51,1,0,0,0,0,0
8.3688,126.8873,3.265033956849284,5.5,12.90467989275948,2.2804000496972523,46.64456540593328,2023,12,2,22,35,1,0,0,0,0,0
-18.9616,-175.5359,5.259056652594734,5.9,12.895859185457871,2.280366945837337,46.6622068205365,2014,5,9,10,32,0,0,0,0,1,0
4.9658,127.5598,4.712229258281499,5.1,12.876212168166013,2.281356092891671,46.70150085512021,2016,5,13,10,3,1,0,0,0,0,0
-25.767,-70.55,3.481240089335692,5.1,12.854078621363197,2.281029474987073,46.74576794872584,2012,10,23,10,45,1,0,0,0,0,0
-61.6949,154.6743,2.302585092994046,5.9,12.887534315683258,2.2828813234312793,46.67885656008572,2013,10,29,10,37,0,0,0,0,1,0
-57.05,-141.465,2.302585092994046,5.6,12.794656215041673,2.280322532982812,46.86461276136889,2013,1,9,21,46,0,0,0,0,1,0
-31.852,-111.2436,2.302585092994046,6.0,12.818123647043755,2.2803719947656904,46.817677897364725,2014,11,1,10,59,0,0,0,0,1,0
-9.3512,-79.0025,3.9152178963246653,5.3,12.87031868254368,2.280212334859316,46.713287826364876,2017,1,28,6,42,0,0,0,0,1,0
-24.713,-179.997,6.238324625039508,5.3,12.897077533018086,2.2808244216601965,46.65977012541607,2011,2,2,16,38,0,0,1,0,0,0
-9.1421,67.337,2.302585092994046,5.5,12.886613195394228,2.283939795753006,46.680698800663784,2014,8,2,10,33,0,1,0,0,0,0
37.5468,20.5651,2.302585092994046,5.1,12.841458289231571,2.280611429683746,46.77100861298909,2018,10,26,12,41,0,0,0,0,1,0
-17.275,167.826,2.833213344056216,6.2,12.80317412585695,2.2807288029353185,46.84757693973834,2011,3,17,2,48,0,0,0,0,1,0
2.7018,126.8252,3.011113375592293,5.2,12.867393705423668,2.2805231767856338,46.7191377806049,2018,11,20,2,28,0,0,0,0,1,0
-7.3823,121.7602,2.302585092994046,5.1,12.900406621569685,2.2805270595003853,46.65311194831287,2021,12,14,3,47,1,0,0,0,0,0
36.815,21.869,3.673765816303888,5.1,12.905770821387007,2.2823154518038513,46.642383548678225,2013,6,6,11,53,1,0,0,0,0,0
-15.4155,-173.6665,4.273048472104136,5.1,12.854400268618305,2.280785632973749,46.74512465421563,2017,9,6,19,5,1,0,0,0,0,0
-20.961,176.631,3.4404180948154366,5.1,12.909170156943286,2.28077233922666,46.63558487756566,2013,3,19,18,22,1,0,0,0,0,0
23.838,121.6166,2.302585092994046,5.3,12.831880051770536,2.282779668993955,46.79016508791116,2020,2,15,11,0,0,0,0,0,1,0
52.36,-132.371,2.995732273553991,5.1,12.900024502251402,2.2835799356741413,46.65387618694944,2012,10,28,11,53,0,0,0,1,0,0
-10.892,165.921,3.6635616461296463,5.8,12.838466133444403,2.28042327808192,46.77699292456343,2013,2,28,18,7,0,0,0,0,1,0
-16.855,-14.1708,2.302585092994046,6.3,12.898216823250902,2.2809921626212604,46.65749154495043,2015,5,24,4,53,0,0,0,0,1,0
50.1375,-175.8006,3.5553480614894135,5.4,12.870120518264844,2.28047041821476,46.71368415492255,2015,2,26,9,45,1,0,0,0,0,0
-6.4851,103.6156,3.5539184686798193,5.1,12.881419842164407,2.2823952468183113,46.691085507123425,2019,1,2,13,40,1,0,0,0,0,0
-20.6647,-175.0273,2.302585092994046,5.2,12.911175570499232,2.280245029688303,46.63157405045377,2015,7,21,15,58,1,0,0,0,0,0
-18.6153,168.5853,3.912023005428146,5.8,12.842316085700487,2.2843826409742443,46.769293020051265,2015,5,19,13,54,0,0,0,0,1,0
-19.8927,-70.9455,3.3470931226689546,6.9,12.851276178524385,2.2808210786953516,46.75137283440347,2014,4,1,23,57,0,0,0,0,1,0
-7.2346,155.0421,2.4087452888224363,5.3,12.910708576928585,2.2820380478276245,46.632508037595066,2015,12,6,4,3,1,0,0,0,0,0
