latitude,longitude,depth,magnitude,distance,gravity,force
-33.96,-72.453,12.9,5.3,368561,9.8,2.4072447694146285e-15
41.961,42.657,10.0,5.2,367913,9.82,2.415731929807526e-15
-43.609,172.523,0.0,5.1,366745,9.78,2.4311435533248164e-15
-19.945,-175.804,132.5,5.1,366443,9.79,2.4351524054342542e-15
-59.942,-27.48,129.7,5.2,365369,9.8,2.449489678666118e-15
-19.607,-68.898,113.8,5.2,364590,9.79,2.4599682490243596e-15
29.651,129.27,156.5,5.2,364536,9.78,2.4606971105049736e-15
27.164,143.483,10.0,5.1,363193,9.78,2.478928883918229e-15
27.133,143.47,10.0,5.2,363120,9.78,2.4799256893731593e-15
17.958,147.428,52.2,5.2,362863,9.78,2.4834397792777154e-15
-19.047,-176.54,10.0,5.1,362853,9.78,2.4835766652343037e-15
11.584,-86.287,93.9,5.2,362851,9.82,2.483604043783734e-15
15.216,-104.474,10.0,5.4,362793,9.79,2.4843982186942493e-15
42.36,142.895,62.1,5.1,362831,9.79,2.483877854179703e-15
2.887,95.521,28.3,5.2,362860,9.79,2.4834808438763825e-15
2.903,95.516,24.0,5.6,362862,9.78,2.4834534673641025e-15
-0.491,132.576,35.1,5.1,363008,9.79,2.481456203989967e-15
63.542,-150.8652,15.7,5.2,363654,9.81,2.4726478482799307e-15
-4.247,102.141,56.0,5.3,364088,9.78,2.466756472729508e-15
-34.998,-72.378,35.0,5.1,364156,9.79,2.4658353082896094e-15
-20.335,-176.292,236.1,5.9,364957,9.79,2.4550232587033414e-15
26.662,143.725,13.8,5.1,365310,9.79,2.450280960380301e-15
-56.469,-26.964,124.2,5.3,365313,9.82,2.4502407164650938e-15
-19.204,-173.51,16.2,5.7,365534,9.78,2.447278805927103e-15
38.413,72.791,110.0,6.0,365717,9.8,2.4448302461290085e-15
11.902,143.383,35.0,5.1,365924,9.79,2.442064990401166e-15
-19.29,-176.339,15.0,5.1,366961,9.78,2.4282823639460744e-15
-22.588,69.675,10.0,5.2,367256,9.79,2.4243828737027057e-15
22.086,144.249,63.1,5.1,368639,9.79,2.4062261836030926e-15
35.127,141.117,14.0,5.1,369074,9.8,2.400557447515982e-15
-52.914,22.343,10.0,5.1,369109,9.79,2.400102213277995e-15
-30.064,-177.95,35.0,5.4,370219,9.81,2.385731693934282e-15
-18.849,67.347,10.0,5.1,371841,9.8,2.364963586424552e-15
-5.476,147.132,220.6,5.3,373114,9.79,2.3488534279939516e-15
2.205,96.829,23.0,6.1,374351,9.79,2.3333560408247013e-15
-11.013,166.303,148.5,5.7,374571,9.79,2.3306159056979655e-15
-15.562,-173.117,16.0,5.6,375869,9.8,2.3145469239944314e-15
-11.656,166.356,82.9,5.5,376365,9.79,2.3084504016978635e-15
28.195,59.015,10.0,6.2,377128,9.79,2.2991190028638056e-15
-38.502,175.996,158.1,5.6,378185,9.79,2.286285216689638e-15
-19.209,-173.502,10.0,5.1,378390,9.8,2.28380861049517e-15
28.15,59.07,15.0,5.2,380371,9.79,2.2600820718771263e-15
-21.394,-178.752,572.5,5.3,381720,9.79,2.2441360203750897e-15
-19.161,-178.217,623.2,5.4,381730,9.8,2.244018444778407e-15
-41.018,80.834,10.0,5.2,383542,9.78,2.2228653175260918e-15
-41.171,80.747,10.0,5.1,383622,9.78,2.221938307692078e-15
-17.892,-178.157,593.6,5.3,383975,9.82,2.2178547934697493e-15
-19.077,168.214,43.5,5.1,384047,9.83,2.217023277658184e-15
70.931,-6.657,15.0,6.2,384644,9.79,2.210146603351464e-15
-62.964,-164.221,10.0,5.5,385433,9.79,2.201107310697465e-15
21.613,142.956,321.2,5.5,385539,9.78,2.199897133253303e-15
-14.969,167.223,100.5,5.2,390016,9.79,2.149681699027466e-15
-22.009,-175.622,76.0,6.0,391669,9.79,2.131574953725714e-15
22.136,145.464,49.3,5.2,392877,9.78,2.118486970020513e-15
24.166,121.834,21.0,5.2,395208,9.79,2.0935703185324944e-15
10.622,94.109,21.8,5.6,395899,9.78,2.0862684834870564e-15
-19.72,-175.841,242.1,5.2,396426,9.79,2.0807252916201576e-15
54.974,-160.465,35.0,5.9,397265,9.79,2.07194583668513e-15
-42.658,-16.175,10.0,5.1,398821,9.82,2.0558099832250813e-15
-24.713,-179.997,512.0,5.3,399144,9.78,2.0524840760393738e-15
-14.523,166.66,24.0,5.2,400321,9.78,2.040432635318943e-15
-18.621,-175.968,10.0,5.2,401132,9.79,2.0321903706427027e-15
-61.945,153.549,10.0,5.4,401492,9.8,2.0285476552610793e-15
-15.511,-173.068,10.0,5.9,402024,9.79,2.0231824367363904e-15
-6.686,130.51,96.2,5.2,402137,9.82,2.0220455729589386e-15
22.577,143.595,91.6,5.3,402731,9.78,2.0160852207396558e-15
-59.304,149.136,10.0,5.3,403057,9.81,2.0128252451706315e-15
-46.055,95.895,10.0,5.1,403095,9.78,2.0124457626463504e-15
29.182,130.228,42.2,5.3,403313,9.82,2.010270803699081e-15
11.322,-62.146,149.1,5.2,403394,9.78,2.009463575098362e-15
24.618,94.68,85.0,6.2,403521,9.78,2.0081988988398944e-15
-14.188,166.459,10.0,5.9,403556,9.78,2.0078505758636473e-15
-14.256,166.422,10.0,5.4,403635,9.79,2.0070646941992165e-15
-14.164,166.58,10.0,5.2,403708,9.79,2.006338909840649e-15
34.77,140.352,65.3,5.1,404375,9.79,1.9997256208060504e-15
-37.621,-73.448,28.9,5.8,405170,9.78,1.991885839076107e-15
-30.317,-177.56,7.3,5.1,405281,9.8,1.9907948969872937e-15
-8.283,104.067,7.0,5.6,405808,9.78,1.9856275879376738e-15
-20.413,168.304,38.9,5.1,405889,9.8,1.9848351555915563e-15
0.809,98.817,75.2,5.1,405855,9.79,1.985167723735356e-15
